block,param1,param2,correlation,direction,max_abs_dscore_1,max_abs_dscore_2
NMDAR,Glu+NMDAR.tau,NMDAR_inact.Kf,1.0,positive (redundant),0.016007,0.019183
Glu_mGluR_1,ePKC+mGluR.Km,ePKA+GluR.Km,1.0,positive (redundant),0.024657,0.006724
Glu_mGluR_1,ePKC+mGluR.Km,ePP2A+LRpS870G.Km,1.0,positive (redundant),0.024657,0.029199
Glu_mGluR_1,ePKC+mGluR.Km,ePP2A+LRpS870G.kcat,1.0,positive (redundant),0.024657,0.01091
Glu_mGluR_1,ePKC+mGluR.Km,RpS870+Glu.tau,1.0,positive (redundant),0.024657,0.017101
Glu_mGluR_1,ePKC+mGluR.Km,RpS870Glu+Gq.Kd,1.0,positive (redundant),0.024657,0.011106
Glu_mGluR_1,ePKC+mGluR.Km,RpS870Glu+Gq.tau,1.0,positive (redundant),0.024657,0.043088
Glu_mGluR_1,ePKA+GluR.Km,ePP2A+LRpS870G.Km,1.0,positive (redundant),0.006724,0.029199
Glu_mGluR_1,ePKA+GluR.Km,ePP2A+LRpS870G.kcat,1.0,positive (redundant),0.006724,0.01091
Glu_mGluR_1,ePKA+GluR.Km,RpS870+Glu.tau,1.0,positive (redundant),0.006724,0.017101
Glu_mGluR_1,ePKA+GluR.Km,RpS870Glu+Gq.tau,1.0,positive (redundant),0.006724,0.043088
Glu_mGluR_1,ePP2A+LRpS870G.Km,ePP2A+LRpS870G.kcat,1.0,positive (redundant),0.029199,0.01091
Glu_mGluR_1,ePP2A+LRpS870G.Km,RpS870+Glu.tau,1.0,positive (redundant),0.029199,0.017101
Glu_mGluR_1,ePP2A+LRpS870G.Km,RpS870Glu+Gq.tau,1.0,positive (redundant),0.029199,0.043088
Glu_mGluR_1,ePP2A+LRpS870G.kcat,RpS870+Glu.tau,1.0,positive (redundant),0.01091,0.017101
Glu_mGluR_1,ePP2A+LRpS870G.kcat,RpS870Glu+Gq.Kd,1.0,positive (redundant),0.01091,0.011106
Glu_mGluR_1,ePP2A+LRpS870G.kcat,RpS870Glu+Gq.tau,1.0,positive (redundant),0.01091,0.043088
Glu_mGluR_1,RpS870+Glu.tau,RpS870Glu+Gq.Kd,1.0,positive (redundant),0.017101,0.011106
Glu_mGluR_1,RpS870+Glu.tau,RpS870Glu+Gq.tau,1.0,positive (redundant),0.017101,0.043088
Glu_mGluR_1,RpS870Glu+Gq.Kd,RpS870Glu+Gq.tau,1.0,positive (redundant),0.011106,0.043088
Glu_mGluR_3,ePKC+RpS870G.kcat,ePKC+RpS870G.Km,1.0,positive (redundant),1.745355,1.745355
Glu_mGluR_3,ePKC+RpS870G.kcat,ePKC+RpS870.kcat,1.0,positive (redundant),1.745355,1.745355
Glu_mGluR_3,ePKC+RpS870G.kcat,ePKC+RpS870.Km,1.0,positive (redundant),1.745355,1.745355
Glu_mGluR_3,ePKC+RpS870G.kcat,ePKC+LRpS870.kcat,1.0,positive (redundant),1.745355,1.745355
Glu_mGluR_3,ePKC+RpS870G.kcat,ePKC+LRpS870.Km,1.0,positive (redundant),1.745355,1.745355
Glu_mGluR_3,ePKC+RpS870G.kcat,ePKC+RG.kcat,1.0,positive (redundant),1.745355,1.745355
Glu_mGluR_3,ePKC+RpS870G.kcat,ePKC+RG.Km,1.0,positive (redundant),1.745355,1.745355
Glu_mGluR_3,ePKC+RpS870G.kcat,ePKC+LR.Km,1.0,positive (redundant),1.745355,1.745355
