param,probe_block,experiment,baseline,perturbed,dscore
ePKA+RG.Km,Receptors_MAPK,Emery2012_Fig1B.json,0.27844,0.216982,-0.061458
ePKA+DHPGR.kcat,Receptors_MAPK,Emery2012_Fig1B.json,0.27844,0.217067,-0.061373
ePKA+RG.kcat,Receptors_MAPK,Emery2012_Fig1B.json,0.27844,0.217225,-0.061215
ePKA+DHPGR.kcat,Receptors_protein,Dastidar2020_3C_NMDA.json,0.277397,0.278958,0.001561
ePKA+RG.Km,Receptors_protein,Dastidar2020_3C_NMDA.json,0.277397,0.276615,-0.000782
ePKA+RG.kcat,Receptors_protein,Dastidar2020_3C_NMDA.json,0.277397,0.276884,-0.000512
ePKA+RG.Km,Receptors_protein,Jeon2012_Fig1C_FMRP.json,0.607635,0.607315,-0.00032
Epib2ARp1_deph.Km,PKA,Heubach2004_Table1.json,0.061988,0.061672,-0.000316
ePKA+RG.kcat,Receptors_protein,Jeon2012_Fig1C_FMRP.json,0.607635,0.60736,-0.000275
Epib2ARp2_deph.Km,PKA,Heubach2004_Table1.json,0.061988,0.061768,-0.00022
ePKA+DHPGR.kcat,Receptors_MAPK,Ji2010_Fig1B_ERK_gradient.json,0.43685,0.436647,-0.000204
ePKA+RG.kcat,Receptors_MAPK,Kaphzan2007_Fig1A.json,0.034946,0.035143,0.000197
ePKA+DHPGR.kcat,Receptors_protein,Jeon2012_Fig1C_FMRP.json,0.607635,0.607444,-0.000192
Epib2ARp1_deph.kcat,PKA,Heubach2004_Table1.json,0.061988,0.061799,-0.000189
b2ARp2barr2p_deph.Km,PKA,Heubach2004_Table1.json,0.061988,0.061801,-0.000187
Epib2ARp1+barr2.tau,PKA,Heubach2004_Table1.json,0.061988,0.061806,-0.000182
ePKA+DHPGR.kcat,Receptors_MAPK,Abe2000_Fig1A.json,0.510028,0.510176,0.000148
eGRK5+Epi_b2AR.Km,PKA,Heubach2004_Table1.json,0.061988,0.062123,0.000135
Epib2ARp2_deph.kcat,PKA,Heubach2004_Table1.json,0.061988,0.061862,-0.000126
ePKA+RG.kcat,Receptors_S6K,Ru2012_Fig1A.json,0.212594,0.212482,-0.000112
ePKA+RG.Km,Receptors_S6K,Ru2012_Fig1A.json,0.212594,0.212485,-0.000109
ePKA+RG.Km,Receptors_MAPK,Abe2000_Fig1A.json,0.510028,0.509924,-0.000104
ePKA+DHPGR.Km,Receptors_MAPK,Aditi_ERK.json,0.354858,0.35496,0.000102
eGRK2+Epi_b2AR.Km,PKA,Heubach2004_Table1.json,0.061988,0.062079,9.1e-05
Epib2ARp1+barr2.Kd,PKA,Heubach2004_Table1.json,0.061988,0.062072,8.4e-05
Epib2ARp2+barr2.tau,PKA,Heubach2004_Table1.json,0.061988,0.061907,-8.1e-05
ePKA+RG.Km,Receptors_MAPK,Mao2005_Fig4.json,0.526659,0.526739,8e-05
ePKA+RG.kcat,Receptors_MAPK,Mao2005_Fig4.json,0.526659,0.526735,7.6e-05
Intb2ARp1_deph.Km,PKA,Heubach2004_Table1.json,0.061988,0.061916,-7.2e-05
ePKA+RG.kcat,Receptors_MAPK,Sethna2016_Fig1A.json,0.536107,0.536171,6.4e-05
ePKA+RG.Km,Receptors_MAPK,Gottschalk1999_Fig1D.json,0.352931,0.352872,-5.8e-05
eGRK5+Epi_b2AR.kcat,PKA,Heubach2004_Table1.json,0.061988,0.062041,5.3e-05
ePKA+DHPGR.kcat,Receptors_MAPK,Gottschalk1999_Fig1D.json,0.352931,0.352877,-5.3e-05
ePKA+RG.kcat,Receptors_MAPK,BarnesSA2015_Fig3Eii_WT.json,0.431367,0.431315,-5.1e-05
ePKA+RG.kcat,Receptors_MAPK,Osterweil2010_Fig2D_ERK.json,0.449975,0.449925,-5e-05
ePKA+DHPGR.Km,Receptors_MAPK,Page2006_Fig4C.json,0.318615,0.318664,4.9e-05
ePKA+DHPGR.kcat,Receptors_MAPK,ZhouY2010_Fig3C.json,0.29159,0.291544,-4.5e-05
ePKA+RG.kcat,Receptors_MAPK,Ji2010_Fig1B_ERK_acute.json,0.653405,0.65336,-4.5e-05
ePKA+DHPGR.kcat,Receptors_S6K,Ru2012_Fig1A.json,0.212594,0.21255,-4.4e-05
ePKA+RG.kcat,Receptors_MAPK,Gottschalk1999_Fig1D.json,0.352931,0.35289,-4.1e-05
ePKA+RG.Km,Receptors_MAPK,Ji2010_Fig1B_ERK_acute.json,0.653405,0.653366,-4e-05
ePKA+RG.kcat,Receptors_MAPK,Zhu2017_Fig2C.json,0.11559,0.11563,4e-05
ePKA+RG.kcat,Receptors_MAPK,Abe2000_Fig1B.json,0.606374,0.606335,-3.9e-05
ePKA+RG.Km,Receptors_MAPK,ZhouY2010_Fig3C.json,0.29159,0.291551,-3.8e-05
ePKA+DHPGR.kcat,Receptors_MAPK,Nicodemo2010_Fig5A.json,0.273438,0.273402,-3.6e-05
eGRK2+Epi_b2AR.kcat,PKA,Heubach2004_Table1.json,0.061988,0.062023,3.4e-05
ePKA+RG.Km,Receptors_MAPK,Zhu2017_Fig2C.json,0.11559,0.115624,3.4e-05
ePKA+DHPGR.Km,Receptors_MAPK,Mao2005_Fig4.json,0.526659,0.526692,3.3e-05
ePKA+DHPGR.kcat,Receptors_MAPK,Mao2005_Fig4.json,0.526659,0.526692,3.3e-05
ePKA+RG.kcat,Receptors_MAPK,Uematsu2015_Fig3F.json,0.154001,0.154033,3.2e-05
Epib2ARp2+barr2.Kd,PKA,Heubach2004_Table1.json,0.061988,0.062019,3.1e-05
ePKA+DHPGR.kcat,Receptors_MAPK,Sethna2016_Fig1A.json,0.536107,0.536077,-3e-05
ePKA+RG.Km,Receptors_MAPK,Kaphzan2007_Fig1A.json,0.034946,0.034976,3e-05
ePKA+RG.kcat,Receptors_S6K,Troca-Martin2011_Fig2C.json,0.210929,0.210958,3e-05
ePKA+RG.kcat,Receptors_protein,Osterweil2010_Fig1G.json,0.112814,0.112844,3e-05
ePKA+RG.Km,Receptors_S6K,Antion2008_Fig6D_DHPG_Rapamycin.json,0.208294,0.208323,2.9e-05
ePKA+RG.kcat,Receptors_MAPK,Abe2000_Fig1A.json,0.510028,0.509999,-2.9e-05
ePKA+RG.kcat,Receptors_MAPK,Page2006_Fig4C.json,0.318615,0.318644,2.9e-05
ePKA+DHPGR.kcat,Receptors_MAPK,Aditi_ERK.json,0.354858,0.35483,-2.8e-05
ePKA+RG.Km,Receptors_MAPK,Gu2004_Fig3B.json,0.635696,0.635668,-2.8e-05
ePKA+RG.kcat,Receptors_MAPK,Sethna2016_Fig1C.json,0.260798,0.260826,2.8e-05
ePKA+RG.kcat,Receptors_protein,BarnesSA2015_Fig3D_WT.json,0.19352,0.193546,2.6e-05
ePKA+RG.Km,Receptors_MAPK,Sethna2016_Fig1C.json,0.260798,0.260822,2.4e-05
ePKA+RG.Km,Receptors_MAPK,Queipo2018_Fig2.json,0.690168,0.690145,-2.3e-05
ePKA+RG.kcat,Receptors_MAPK,Gottschalk1999_Fig1C.json,0.310914,0.310892,-2.3e-05
