block,leaf,field,n_experiments,min_dscore,max_dscore,mean_abs_dscore,max_abs_dscore,status,manual_override,crosscheck_tested,crosscheck_peak_abs_dscore,crosscheck_verdict
Glu_mGluR_2,ePKA+RG,Km,21,-0.0,0.0,0.0,0.0,dead,confirmed_dead,Receptors_MAPK/Receptors_S6K/Receptors_protein,0.061458,alive_elsewhere
DHPG_mGluR_1,ePKA+DHPGRG,Km,5,-0.0,0.0,0.0,0.0,dead,confirmed_dead,,,
DHPG_mGluR_1,ePKC+DHPGRpS870G,Km,5,-0.0,0.0,0.0,0.0,dead,confirmed_dead,,,
CaM,CaMCa3+Ca,tau,6,-0.0,0.0,0.0,0.0,dead,,,,
CaM,CaM+Ca,tau,6,-0.0,0.0,0.0,0.0,dead,,,,
CaM,CaMCa2+Ca,tau,6,0.0,0.0,0.0,0.0,dead,,,,
CaM,CaMCa+Ca,tau,6,-0.0,0.0,0.0,0.0,dead,,,,
TrKs_SHC,eMAPK+Sos,Km,4,0.0,0.0,0.0,0.0,dead,,,,
TrKs_SHC,eMAPK+Sos,kcat,4,0.0,0.0,0.0,0.0,dead,,,,
AC_1,PP1_I1_dissoc,Kf,15,0.0,0.0,0.0,0.0,dead,,,,
AC_1,ePP2A+PP1_Ip,kcat,15,0.0,0.0,0.0,0.0,dead,,,,
AC_2,I1p+PP1,tau,15,0.0,0.0,0.0,0.0,dead,,,,
AC_2,ePP2A+I1p,kcat,15,0.0,0.0,0.0,0.0,dead,,,,
AC_3,ePP2A+PP1_Ip,Km,15,0.0,0.0,0.0,0.0,dead,,,,
AC_3,ePKC+AC2,Km,15,0.0,0.0,0.0,0.0,dead,,,,
AC_3,ePKC+AC2,kcat,15,0.0,0.0,0.0,0.0,dead,,,,
PLA2_1,eMAPK+PLA2,kcat,9,0.0,0.0,0.0,0.0,dead,,,,
PLA2_1,eMAPK+PLA2,Km,9,0.0,0.0,0.0,0.0,dead,,,,
PLA2_1,DAG_CaPLA2p_act,tau,9,0.0,0.0,0.0,0.0,dead,,,,
PLA2_1,DAG_CaPLA2p_act,Kd,9,0.0,0.0,0.0,0.0,dead,,,,
PLA2_2,ePLA2DAGCa+APC,Km,9,0.0,0.0,0.0,0.0,dead,,,,
PLA2_2,ePLA2DAGCa+APC,kcat,9,0.0,0.0,0.0,0.0,dead,,,,
