leaf,field,group,block,path,status,in_legacy_params_csv
NMDA+NMDAR,Kd,Receptors,NMDAR,/model[0]/kinetics[0]/NMDAR_g[0]/NMDA_act_NMDAR,resolved,False
NMDA+NMDAR,tau,Receptors,NMDAR,/model[0]/kinetics[0]/NMDAR_g[0]/NMDA_act_NMDAR,resolved,False
Glu+NMDAR,Kd,Receptors,NMDAR,/model[0]/kinetics[0]/NMDAR_g[0]/Glu_act_NMDAR,resolved,True
Glu+NMDAR,tau,Receptors,NMDAR,/model[0]/kinetics[0]/NMDAR_g[0]/Glu_act_NMDAR,resolved,True
NMDAR_inact,Kf,Receptors,NMDAR,/model[0]/kinetics[0]/NMDAR_g[0]/NMDAR_inact,resolved,True
eAMPAR+Glu_NMDAR,Km,Receptors,NMDAR,/model[0]/kinetics[0]/AMPAR_g[0]/aAMPAR[0]/synAct_act_Glu_NMDAR,resolved,True
eAMPAR+Glu_NMDAR,kcat,Receptors,NMDAR,/model[0]/kinetics[0]/AMPAR_g[0]/aAMPAR[0]/synAct_act_Glu_NMDAR,resolved,True
BDNF+TrKB,Kd,Receptors,TrKB,/model[0]/kinetics[0]/TrKB_g[0]/Ligand_binding,resolved,True
BDNF+TrKB,tau,Receptors,TrKB,/model[0]/kinetics[0]/TrKB_g[0]/Ligand_binding,resolved,True
TrKBdimeriz,Kd,Receptors,TrKB,/model[0]/kinetics[0]/TrKB_g[0]/Dimeriz_TrKB,resolved,True
TrKBdimeriz,tau,Receptors,TrKB,/model[0]/kinetics[0]/TrKB_g[0]/Dimeriz_TrKB,resolved,True
auto_TrKB,Kf,Receptors,TrKB,/model[0]/kinetics[0]/TrKB_g[0]/Autophos_TrKB,resolved,True
TrKB_Internalize,Kf,Receptors,TrKB,/model[0]/kinetics[0]/TrKB_g[0]/LR_Internalize,resolved,True
TrKB_cycling,Kf,Receptors,TrKB,/model[0]/kinetics[0]/TrKB_g[0]/LR_cycling,resolved,True
IntTrKB2_deph,Kf,Receptors,TrKB,/model[0]/kinetics[0]/TrKB_g[0]/IntTrKB2_deph,resolved,True
EGF+EGFR,Kd,Receptors,EGFR,/model[0]/kinetics[0]/EGFR_g[0]/act_EGFR,resolved,True
EGF+EGFR,tau,Receptors,EGFR,/model[0]/kinetics[0]/EGFR_g[0]/act_EGFR,resolved,True
EGFR_Internalize,Kf,Receptors,EGFR,/model[0]/kinetics[0]/EGFR_g[0]/Internalize,resolved,True
EGFR_recycling,Kf,Receptors,EGFR,/model[0]/kinetics[0]/EGFR_g[0]/EGFR_recycling,resolved,True
Glu+mGluR,Kd,Receptors,Glu_mGluR,/model[0]/kinetics[0]/mGluR5_g[0]/RecLigandBinding,resolved,True
Glu+mGluR,tau,Receptors,Glu_mGluR,/model[0]/kinetics[0]/mGluR5_g[0]/RecLigandBinding,resolved,True
Glu+mGluR_Gq,Kd,Receptors,Glu_mGluR,/model[0]/kinetics[0]/mGluR5_g[0]/RecGq_bind_Glu,resolved,True
Glu+mGluR_Gq,tau,Receptors,Glu_mGluR,/model[0]/kinetics[0]/mGluR5_g[0]/RecGq_bind_Glu,resolved,True
mGluR5_recycling,Kd,Receptors,Glu_mGluR,/model[0]/kinetics[0]/mGluR5_g[0]/mGluR5_recycling,resolved,False
mGluR5_recycling,tau,Receptors,Glu_mGluR,/model[0]/kinetics[0]/mGluR5_g[0]/mGluR5_recycling,resolved,False
Glu_mGluR+Gq,Kd,Receptors,Glu_mGluR,/model[0]/kinetics[0]/mGluR5_g[0]/RecGlu_bind_Gq,resolved,True
Glu_mGluR+Gq,tau,Receptors,Glu_mGluR,/model[0]/kinetics[0]/mGluR5_g[0]/RecGlu_bind_Gq,resolved,True
GluGq_act,Kf,Receptors,Glu_mGluR,/model[0]/kinetics[0]/mGluR5_g[0]/Activate_Gq,resolved,True
